Day,score
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,1
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,1
3/5/20,1
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,1
3/12/20,1
3/13/20,1
3/14/20,2
3/15/20,1
3/16/20,1
3/17/20,10
3/18/20,7
3/19/20,56
3/20/20,38
3/21/20,39
3/22/20,33
3/23/20,33
3/24/20,37
3/25/20,21
3/26/20,16
3/27/20,16
3/28/20,17
3/29/20,13
3/30/20,25
3/31/20,24
4/1/20,16
4/2/20,19
4/3/20,18
4/4/20,27
4/5/20,34
4/6/20,48
4/7/20,56
4/8/20,41
4/9/20,27
4/10/20,20
4/11/20,16
4/12/20,12
4/13/20,14
4/14/20,15
4/15/20,12
4/16/20,9
4/17/20,8
4/18/20,7
4/19/20,6
4/20/20,7
4/21/20,11
4/22/20,16
4/23/20,15
4/24/20,15
4/25/20,14
4/26/20,6
4/27/20,5
4/28/20,6
4/29/20,6
4/30/20,6
5/1/20,4
5/2/20,4
5/3/20,3
5/4/20,3
5/5/20,5
5/6/20,8
5/7/20,8
5/8/20,6
5/9/20,4
5/10/20,4
5/11/20,3
5/12/20,5
5/13/20,4
5/14/20,6
5/15/20,6
5/16/20,5
5/17/20,5
5/18/20,34
5/19/20,70
5/20/20,29
5/21/20,15
5/22/20,15
5/23/20,12
5/24/20,8
5/25/20,9
5/26/20,7
5/27/20,6
5/28/20,5
5/29/20,5
5/30/20,3
5/31/20,3
6/1/20,3
6/2/20,2
6/3/20,3
6/4/20,5
6/5/20,5
6/6/20,5
6/7/20,3
6/8/20,2
6/9/20,2
6/10/20,2
6/11/20,2
6/12/20,2
6/13/20,2
6/14/20,2
6/15/20,6
6/16/20,6
6/17/20,3
6/18/20,3
6/19/20,2
6/20/20,2
6/21/20,3
6/22/20,2
6/23/20,2
6/24/20,2
6/25/20,2
6/26/20,2
6/27/20,2
6/28/20,2
6/29/20,2
6/30/20,2
7/1/20,2
7/2/20,3
7/3/20,14
7/4/20,13
7/5/20,7
7/6/20,7
7/7/20,9
7/8/20,6
7/9/20,4
7/10/20,4
7/11/20,5
7/12/20,4
7/13/20,3
7/14/20,3
7/15/20,3
7/16/20,4
7/17/20,4
7/18/20,2
7/19/20,2
7/20/20,2
7/21/20,3
7/22/20,3
7/23/20,4
7/24/20,4
7/25/20,2
7/26/20,3
7/27/20,9
7/28/20,100
7/29/20,89
7/30/20,57
7/31/20,36
8/1/20,23
8/2/20,20
8/3/20,20
8/4/20,14
8/5/20,11
8/6/20,9
8/7/20,8
8/8/20,8
8/9/20,8
8/10/20,5
8/11/20,5
8/12/20,5
8/13/20,5
8/14/20,5
8/15/20,4
8/16/20,4
8/17/20,4
8/18/20,4
8/19/20,4
8/20/20,3
8/21/20,3
8/22/20,3
8/23/20,4
8/24/20,5
8/25/20,3
8/26/20,3
8/27/20,2
8/28/20,2
8/29/20,3
8/30/20,3
8/31/20,2
9/1/20,3
9/2/20,3
9/3/20,2
9/4/20,2
9/5/20,3
9/6/20,1
9/7/20,2
9/8/20,2
9/9/20,2
9/10/20,2
9/11/20,2
9/12/20,1
9/13/20,1
9/14/20,2
9/15/20,2
9/16/20,1
9/17/20,1
9/18/20,2
9/19/20,1
9/20/20,2
9/21/20,2
9/22/20,1
9/23/20,1
9/24/20,1
9/25/20,1
9/26/20,2
9/27/20,1
9/28/20,1
9/29/20,2
9/30/20,1
10/1/20,11
10/2/20,100
10/3/20,40
10/4/20,21
10/5/20,17
10/6/20,19
10/7/20,14
10/8/20,9
10/9/20,10
10/10/20,7
10/11/20,7
10/12/20,7
10/13/20,10
10/14/20,6
10/15/20,7
10/16/20,9
10/17/20,7
10/18/20,5
10/19/20,4
10/20/20,4
10/21/20,10
10/22/20,9
10/23/20,12
10/24/20,7
10/25/20,6
10/26/20,10
10/27/20,3
10/28/20,6
10/29/20,8
10/30/20,8
10/31/20,9
11/1/20,12
11/2/20,10
11/3/20,7
11/4/20,4
11/5/20,5
11/6/20,7
11/7/20,5
11/8/20,3
11/9/20,8
11/10/20,8
11/11/20,10
11/12/20,8
11/13/20,7
11/14/20,6
11/15/20,7
11/16/20,9
11/17/20,10
11/18/20,8
11/19/20,7
11/20/20,13
11/21/20,10
11/22/20,5
11/23/20,9
11/24/20,9
11/25/20,12
11/26/20,12
11/27/20,8
11/28/20,4
11/29/20,10
11/30/20,12
12/1/20,13
12/2/20,10
12/3/20,11
12/4/20,7
12/5/20,5
12/6/20,6
12/7/20,17
12/8/20,8
12/9/20,14
12/10/20,10
12/11/20,10
12/12/20,8
12/13/20,8
12/14/20,15
12/15/20,17
12/16/20,26
12/17/20,23
12/18/20,11
12/19/20,11
12/20/20,13
12/21/20,9
12/22/20,14
12/23/20,13
12/24/20,11
12/25/20,12
12/26/20,9
12/27/20,11
12/28/20,9
12/29/20,11
12/30/20,8
12/31/20,12
