,full_text,user_location,friends_count,followers_count,reply_count,retweet_count,favorite_count,created_date,manual_positivity,index
0,"I don’t think it’s unreasonable to use hydroxychloroquine (without azithro) in CRITICALLY ILL patients, hopefully in the context of research, and absolutely in discussion with patients/family. The language below implies this combo is a “cure” for #COVID19. Absolutely untrue.","Seattle, WA",145,424,1,0,4,2020-03-21,neu,290
1,"6.
But the researchers only looked at 36 patients and only 26 actually received hydroxychloroquine in the study — a tiny sample size, -the study wasn’t blinded, meaning the patients knew what they were getting, nor was it randomized. That limits the scientific merit of the study https://t.co/c8uxuG75l2","San Marcos, TX",1676,986,1,0,0,2020-03-21,neu,291
2,@realDonaldTrump A LOT of people will DIE if they take HYDROXYCHLOROQUINE &amp; AZITHROMYCIN together. You are a 🤡,Vancouver,340,407,0,0,0,2020-03-21,neg,292
3,@realDonaldTrump Why isn’t Italy using Hydroxychloroquine and Zpac❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓and others therapeutics ❗️❗️❗️❗️❗️,"Long Island, NY",318,105,0,0,0,2020-03-21,neg,293
4,@Gonzolian @eugenegu @realDonaldTrump I don't know what numbers you mean. Yes it's a real virus. Neither Hydroxychloroquine or azithromycin are antiviral drugs. Their efficacy in combination against Covid19 has not been established. The drugs should not be prescribed without a proper medical history or pt exam.,New York and North Carolina,1481,1231,3,0,2,2020-03-21,neg,294
5,A thread worth reading. Interesting data but non-randomized and probably differences in baseline characteristics that may have led to the study study findings #COVIDー19 #Hydroxychloroquine,"Baltimore, MD",353,489,2,1,1,2020-03-21,neu,295
6,"""No prescription or medication order for chloroquine, hydroxychloroquine, or azithromycin may be dispensed or distributed unless all the following apply:

(a) the prescription or medication order bears a written diagnosis from the prescriber consistent w/ the evidence for its use","Leander, TX",1163,23164,4,59,192,2020-03-21,neg,296
7,"7.
That said, there are plans for wider testing. At least six clinical trials for hydroxychloroquine are recruiting patients or in planning stages around the world. https://t.co/PuWUwuhaj5","San Marcos, TX",1676,986,1,0,0,2020-03-21,neu,297
8,"3.
Chinese researchers showed in lab cell culture tests that hydroxychloroquine can slow infections from the virus behind Covid-19, SARS-CoV-2, blocking it from entering cells. Some doctors in China and South Korea have also used it to treat patients https://t.co/fp9cdjS1EG","San Marcos, TX",1676,986,2,0,0,2020-03-21,pos,298
9,My wife (and the majority of Lupus patients) are already on daily doses of Hydroxychloroquine...(Plaquenil),,394,375,0,0,0,2020-03-21,neu,299
10,"Yes! I and many others take hydroxychloroquine for autoimmune diseases. These lies will cause painful flare-ups for people who can’t get their meds because others are looking for a miracle cure that doesn’t exist. Trump: Once a snake oil salesman, always a snake oil salesman.",The Wilds of Connecticut,1036,148,0,0,2,2020-03-21,neg,300
11,@Visitkarte @Davey93717050 @eugenegu @realDonaldTrump Still need to find a doctor willing to write a prescription. I am a pharmacist with arthritis and trying to fill my regular script of Hydroxychloroquine. If it's not available then it's not available. I can't magically pull it out of my ass!,New York and North Carolina,1481,1231,0,0,0,2020-03-21,neu,301
12,"@kayleighmcenany @DonaldJTrumpJr @realDonaldTrump A very practical &amp; swift decision!

This is the kind of leadership that can save 1000s of lives in such a crisis!

Hope &amp; pray President is proven right yet again!
#SaturdayThoughts #Hydroxychloroquine #ThankYouPresidentTrump #WhenThisIsAllOver https://t.co/RbsAZmYii5","Naperville, IL",105,7008,4,3,14,2020-03-21,pos,302
13,"@MichaelCoudrey @realDonaldTrump A very practical &amp; swift decision!

This is the kind of leadership that can save 1000s of lives in such a crisis!
Hope &amp; pray President is proven right yet again!
#SaturdayThoughts #LoveThyNeighbor #SaturdayMotivation #Hydroxychloroquine #ThankYouPresidentTrump #WhenThisIsAllOver https://t.co/RbsAZmYii5","Naperville, IL",105,7008,1,1,3,2020-03-21,pos,303
14,@50cent Share more content like this! We can’t all find hydroxychloroquine but everybody can get ginger and lime.,"Georgia, USA",715,499,1,0,6,2020-03-21,neu,304
15,@mmpadellan @realDonaldTrump HYDROXYCHLOROQUINE is the antiviral not azithromycin but thanks for showing us you really know what your talking about lol.,,486,246,0,0,1,2020-03-21,neg,305
16,"@realDonaldTrump Mr: Presiden every member of my family,  if we get sick we are willing to take HYDROXYCHLOROQUINE &amp; AZITHROMYCIN. No question ask...We will sign any weaver. America First.

Thank you Sir!!!","New Jersey, USA",1143,761,0,0,0,2020-03-21,pos,306
17,"@thomasofthomas5 @KathySchiller5 @realDonaldTrump Trump is right in a way - azithromycin and hydroxychloroquine will cure covid-19. Of course you will have had a fatal cardiac arrhythmia, but dead people don’t have to worry about coronaviruses, right?",United States,253,302,1,0,5,2020-03-21,neg,307
18,"@kelrey84 @jaketapper @charlesornstein We should tell people about hydroxychloroquine retinopathy. I see a neural opthalmalogist, twice a year, because of it. As the disease progresses, it begins to affect central vision and becomes life-altering. 
It’s all about deciding if the illness is worse than the cure.","Halifax, MA",1227,606,1,0,5,2020-03-21,neu,308
19,"""Hydroxychloroquine can also have side effects like headaches, dizziness, and diarrhea, so it’s not something that doctors can blanketly prescribe...""
https://t.co/IuMDPFem8y","San Marcos, TX",1676,986,1,0,0,2020-03-21,neg,309
